input position,input joint,output joint
"(-1.68, 0.74)","(-3.13, -0.75)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.1, -0.76)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.17, -0.85)","(-3.14, -0.83)"
"(-1.68, 0.74)","(-3.22, -0.82)","(-3.14, -0.83)"
"(-1.88, 0.48)","(-3.15, -0.51)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.2, -0.51)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.2, -0.45)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.14, -0.48)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.16, -0.49)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.19, -0.41)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.2, -0.48)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.06, -0.49)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.05, -0.46)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.08, -0.49)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.22, -0.43)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.09, -0.51)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.09, -0.46)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.16, -0.46)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.18, -0.58)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.15, -0.54)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.06, -0.47)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.13, -0.4)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.16, -0.44)","(-3.14, -0.5)"
"(-1.88, 0.48)","(-3.24, -0.58)","(-3.14, -0.5)"
"(-1.99, 0.16)","(-3.21, -0.17)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.1, -0.15)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.1, -0.1)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.23, -0.2)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.05, -0.14)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.1, -0.22)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.23, -0.26)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.11, -0.22)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.1, -0.19)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.22, -0.07)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.2, -0.15)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.16, -0.08)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.23, -0.18)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.1, -0.17)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.09, -0.22)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.13, -0.1)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.09, -0.07)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.09, -0.26)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.12, -0.22)","(-3.14, -0.17)"
"(-1.99, 0.16)","(-3.07, -0.08)","(-3.14, -0.17)"
"(-1.99, -0.16)","(-3.23, 0.07)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.14, 0.21)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.05, 0.16)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.07, 0.12)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.08, 0.21)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.07, 0.25)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.08, 0.21)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.15, 0.22)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.13, 0.24)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.14, 0.18)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.13, 0.24)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.21, 0.15)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.22, 0.16)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.16, 0.12)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.15, 0.14)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.14, 0.12)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.21, 0.12)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.17, 0.09)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.22, 0.25)","(-3.14, 0.17)"
"(-1.99, -0.16)","(-3.19, 0.07)","(-3.14, 0.17)"
"(-1.88, -0.48)","(-3.11, 0.44)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.07, 0.4)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.18, 0.48)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.06, 0.56)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.05, 0.47)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.2, 0.44)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.17, 0.55)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.07, 0.52)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.23, 0.52)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.21, 0.53)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.22, 0.48)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.11, 0.44)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.16, 0.49)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.09, 0.4)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.15, 0.56)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.07, 0.46)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.06, 0.4)","(-3.14, 0.5)"
"(-1.88, -0.48)","(-3.12, 0.48)","(-3.14, 0.5)"
